id,title,description,availability,link,image link,price,identifier exists,gtin,mpn,brand,condition,adult,color,size,gender,age group
PXLWAT-SIL-S,"Google Pixel Watch - Bluetooth/Wi-Fi, Small Band","Track health and stay connected with the elegant Google Pixel Watch.",in_stock,http://www.example.com/pixel_watch_s,http://www.example.com/pixel_watch_s.jpg,349.99 USD,yes,840244700095,GA03304-US,Google Pixel,new,no,Polished Silver,S,unisex,adult
CASE-PXL7A-COR,"Google Pixel 7a Case - Coral","Protect your Pixel 7a with this durable and stylish coral case.",in_stock,http://www.example.com/pixel_7a_case_coral,http://www.example.com/pixel_7a_case_coral.jpg,29.99 USD,yes,,CASE-PXL7A-COR,Google Pixel,new,no,Coral,,unisex,adult
MUG-GGL-COLOR,"Google Colorful Logo Coffee Mug - 11oz","Enjoy your coffee in a mug featuring the vibrant Google colorful logo.",in_stock,http://www.example.com/google_colorful_mug,http://www.example.com/google_colorful_mug.jpg,14.99 USD,yes,,MUG-GGL-COLOR,Google,new,no,White,,unisex,adult
PEN-GGL-4PK,"Google Logo Pen Set - 4 Pack","A set of four click pens with the Google logo, various colors.",in_stock,http://www.example.com/google_pen_set,http://www.example.com/google_pen_set.jpg,12.99 USD,yes,,PEN-GGL-4PK,Google,new,no,Multi-color,,unisex,adult
TEE-GGL-WOM-M,"Google Logo T-Shirt - Women's Medium","Comfortable and fashionable Google logo t-shirt, tailored for women.",in_stock,http://www.example.com/google_tee_women_m,http://www.example.com/google_tee_women_m.jpg,24.99 USD,yes,,TEE-GGL-WOM-M,Google,new,no,Navy,M,female,adult
CAP-GGL-WHT,"Google Logo Baseball Cap - White","Sport a classic look with this adjustable white Google logo baseball cap.",in_stock,http://www.example.com/google_cap_white,http://www.example.com/google_cap_white.jpg,19.99 USD,yes,,CAP-GGL-WHT,Google,new,no,White,,unisex,adult
NEST-DOOR-WIRE,"Google Nest Doorbell (Wired) - Smart Video Doorbell","Always know who's at your door with the wired Nest Doorbell.",in_stock,http://www.example.com/nest_doorbell_wired,http://www.example.com/nest_doorbell_wired.jpg,229.00 USD,yes,193575000298,GA01318-US,Google Nest,new,no,Snow,,unisex,adult
THERM-NEST-E,"Google Nest Thermostat E - Energy Saving Smart Thermostat","Simple to use, energy-saving smart thermostat from Nest.",in_stock,http://www.example.com/nest_thermostat_e,http://www.example.com/nest_thermostat_e.jpg,119.00 USD,yes,193575000305,GA01318-US,Google Nest,new,no,White,,unisex,adult
CHRG-WIRELESS,"Google Pixel Stand (2nd Gen) - Wireless Charger","Fast wireless charging for your Pixel phone, also acts as a smart display.",in_stock,http://www.example.com/pixel_stand_2gen,http://www.example.com/pixel_stand_2gen.jpg,79.00 USD,yes,840244700050,GA02410-US,Google,new,no,White,,unisex,adult
CBL-USB-A-C,"Google USB-A to USB-C Cable (1m)","A reliable 1-meter USB-A to USB-C cable for various devices.",in_stock,http://www.example.com/google_usb_a_c_cable,http://www.example.com/google_usb_a_c_cable.jpg,14.99 USD,yes,840244700040,GA02412-US,Google,new,no,White,,unisex,adult
BACKPACK-GGL,"Google Logo Backpack - Black","A sleek black backpack with the Google logo, perfect for laptops and daily essentials.",in_stock,http://www.example.com/google_backpack,http://www.example.com/google_backpack.jpg,49.99 USD,yes,,BACKPACK-GGL,Google,new,no,Black,,unisex,adult
SOCKS-GGL-WHT-L,"Google Logo Socks - Unisex Large","Comfortable white socks with a subtle Google logo.",in_stock,http://www.example.com/google_socks_l,http://www.example.com/google_socks_l.jpg,12.99 USD,yes,,SOCKS-GGL-WHT-L,Google,new,no,White,L,unisex,adult
PLAY-GC-50,"Google Play Gift Card - $50","Unlock apps, games, movies, and more on Google Play with a $50 gift card.",in_stock,http://www.example.com/google_play_gc_50,http://www.example.com/google_play_gc_50.jpg,50.00 USD,yes,840244700047,GGC-50,Google,new,no,,,unisex,adult
PXL7-SNW-128,"Google Pixel 7 - Unlocked 128GB Smartphone","Capture stunning photos and enjoy powerful performance with the Google Pixel 7 in Snow.",in_stock,http://www.example.com/pixel_7_snow,http://www.example.com/pixel_7_snow.jpg,599.00 USD,yes,840244700026,GVU6C,Google Pixel,new,no,Snow,,unisex,adult
TS-GGL-TEE-S,"Google Logo T-Shirt - Men's Small","Classic 100% cotton t-shirt with Google logo, size small.",in_stock,http://www.example.com/google_tee_men_s,http://www.example.com/google_tee_men_s.jpg,24.99 USD,yes,,TS-GGL-TEE-S,Google,new,no,White,S,male,adult
B0964W6P1P,"Google Nest Hub (2nd Generation) - Smart Display","The Nest Hub (2nd Gen) helps you stay connected and entertained. Available in Mist.",in_stock,http://www.example.com/nest_hub_2gen_mist,http://www.example.com/nest_hub_2gen_mist.jpg,99.99 USD,yes,193575000223,GA01332-US,Google,new,no,Mist,,unisex,adult
TS-GGL-KID-M,"Google Logo T-Shirt - Kids' Medium","A fun and comfortable Google logo t-shirt for kids.",in_stock,http://www.example.com/google_tee_kids_m,http://www.example.com/google_tee_kids_m.jpg,19.99 USD,yes,,TS-GGL-KID-M,Google,new,no,Blue,M,unisex,kids
HD-GGL-UNI-XL,"Google Logo Hoodie - Unisex X-Large","Comfortable Google logo hoodie, size X-Large, for everyday wear.",in_stock,http://www.example.com/google_hoodie_xl,http://www.example.com/google_hoodie_xl.jpg,59.99 USD,yes,,HD-GGL-UNI-XL,Google,new,no,Grey,XL,unisex,adult
PXLBUDS-PRO-LEM,"Google Pixel Buds Pro - Noise-Canceling Earbuds","Immerse yourself in sound with Pixel Buds Pro, featuring active noise cancellation. In Lemongrass.",in_stock,http://www.example.com/pixel_buds_pro_lemon,http://www.example.com/pixel_buds_pro_lemon.jpg,199.99 USD,yes,840244700058,GA03205-US,Google Pixel,new,no,Lemongrass,,unisex,adult
CHRMCAST-AUDIO,"Google Chromecast Audio - Stream Music (Refurbished)","Add streaming audio capabilities to your existing speakers with Chromecast Audio.",out_of_stock,http://www.example.com/chromecast_audio,http://www.example.com/chromecast_audio.jpg,24.99 USD,yes,193575000260,GA00000-US,Google,refurbished,no,Black,,unisex,adult
PXLWAT-BLK-S,"Google Pixel Watch - Bluetooth/Wi-Fi, Small Band","Track health and stay connected with the elegant Google Pixel Watch.",in_stock,http://www.example.com/pixel_watch_s_black,http://www.example.com/pixel_watch_s_black.jpg,349.99 USD,yes,840244700096,GA03305-US,Google Pixel,new,no,Matte Black,S,unisex,adult
CASE-PXL7-OBS,"Google Pixel 7 Case - Obsidian","Protect your Pixel 7 with this durable and stylish obsidian case.",in_stock,http://www.example.com/pixel_7_case_obsidian,http://www.example.com/pixel_7_case_obsidian.jpg,29.99 USD,yes,,CASE-PXL7-OBS,Google Pixel,new,no,Obsidian,,unisex,adult
MUG-GGL-CODE,"Google Code Coffee Mug - 11oz","A unique mug for developers, featuring a subtle Google code-inspired design.",in_stock,http://www.example.com/google_code_mug,http://www.example.com/google_code_mug.jpg,14.99 USD,yes,,MUG-GGL-CODE,Google,new,no,Black,,unisex,adult
STICKY-NOTES-GGL,"Google Logo Sticky Notes - 3 Pack","Keep your thoughts organized with this set of Google logo sticky notes.",in_stock,http://www.example.com/google_sticky_notes,http://www.example.com/google_sticky_notes.jpg,7.99 USD,yes,,STICKY-NOTES-GGL,Google,new,no,Yellow,,unisex,adult
TEE-GGL-WOM-L,"Google Logo T-Shirt - Women's Large","Comfortable and fashionable Google logo t-shirt, tailored for women.",in_stock,http://www.example.com/google_tee_women_l,http://www.example.com/google_tee_women_l.jpg,24.99 USD,yes,,TEE-GGL-WOM-L,Google,new,no,Navy,L,female,adult
CAP-GGL-BLU,"Google Logo Baseball Cap - Blue","Sport a classic look with this adjustable blue Google logo baseball cap.",in_stock,http://www.example.com/google_cap_blue,http://www.example.com/google_cap_blue.jpg,19.99 USD,yes,,CAP-GGL-BLU,Google,new,no,Blue,,unisex,adult
NEST-HUB-MAX,"Google Nest Hub Max - Smart Display with Camera","See your family, make video calls, and control your smart home with Nest Hub Max.",in_stock,http://www.example.com/nest_hub_max,http://www.example.com/nest_hub_max.jpg,229.00 USD,yes,193575000312,GA00639-US,Google Nest,new,no,Chalk,,unisex,adult
THERM-NEST-SENSOR,"Google Nest Temperature Sensor - Room Temperature Control","Place in different rooms to get the right temperature where you want it.",in_stock,http://www.example.com/nest_temp_sensor,http://www.example.com/nest_temp_sensor.jpg,39.00 USD,yes,193575000319,GA02340-US,Google Nest,new,no,White,,unisex,adult
PWRBNK-10K,"Google Branded 10000mAh Power Bank","Keep your devices charged on the go with this high-capacity Google-branded power bank.",in_stock,http://www.example.com/google_power_bank,http://www.example.com/google_power_bank.jpg,39.99 USD,yes,,PWRBNK-10K,Google,new,no,Black,,unisex,adult
CBL-USB-C-3M,"Google USB-C to USB-C Cable (3m)","A long, durable 3-meter USB-C to USB-C cable for versatile charging and data.",in_stock,http://www.example.com/google_usb_c_3m,http://www.example.com/google_usb_c_3m.jpg,24.99 USD,yes,840244700041,GA02413-US,Google,new,no,White,,unisex,adult
WALLET-GGL,"Google Logo Wallet - Black","A sleek black wallet with the Google logo, minimalist design.",in_stock,http://www.example.com/google_wallet,http://www.example.com/google_wallet.jpg,29.99 USD,yes,,WALLET-GGL,Google,new,no,Black,,unisex,adult
SOCKS-GGL-GREY-M,"Google Logo Socks - Unisex Medium","Comfortable grey socks with a subtle Google logo.",in_stock,http://www.example.com/google_socks_grey_m,http://www.example.com/google_socks_grey_m.jpg,12.99 USD,yes,,SOCKS-GGL-GREY-M,Google,new,no,Grey,M,unisex,adult
PLAY-GC-100,"Google Play Gift Card - $100","Unlock apps, games, movies, and more on Google Play with a $100 gift card.",in_stock,http://www.example.com/google_play_gc_100,http://www.example.com/google_play_gc_100.jpg,100.00 USD,yes,840244700048,GGC-100,Google,new,no,,,unisex,adult
PXL7-LEM-128,"Google Pixel 7 - Unlocked 128GB Smartphone","Capture stunning photos and enjoy powerful performance with the Google Pixel 7 in Lemongrass.",in_stock,http://www.example.com/pixel_7_lemon,http://www.example.com/pixel_7_lemon.jpg,599.00 USD,yes,840244700027,GVU6C,Google Pixel,new,no,Lemongrass,,unisex,adult
TS-GGL-TEE-GRY-M,"Google Logo T-Shirt - Men's Medium, Grey","Classic 100% cotton t-shirt with Google logo, size medium, in grey.",in_stock,http://www.example.com/google_tee_men_grey_m,http://www.example.com/google_tee_men_grey_m.jpg,24.99 USD,yes,,TS-GGL-TEE-GRY-M,Google,new,no,Grey,M,male,adult
B0964W6P1P,"Google Nest Hub (2nd Generation) - Smart Display","The Nest Hub (2nd Gen) helps you stay connected and entertained. Available in Sand.",in_stock,http://www.example.com/nest_hub_2gen_sand,http://www.example.com/nest_hub_2gen_sand.jpg,99.99 USD,yes,193575000224,GA01333-US,Google,new,no,Sand,,unisex,adult
TS-GGL-KID-S,"Google Logo T-Shirt - Kids' Small","A fun and comfortable Google logo t-shirt for kids, size small.",in_stock,http://www.example.com/google_tee_kids_s,http://www.example.com/google_tee_kids_s.jpg,19.99 USD,yes,,TS-GGL-KID-S,Google,new,no,Blue,S,unisex,kids
HOODIE-GGL-NAVY-S,"Google Logo Hoodie - Unisex Small, Navy","Comfortable Google logo hoodie, size small, in navy color.",in_stock,http://www.example.com/google_hoodie_navy_s,http://www.example.com/google_hoodie_navy_s.jpg,59.99 USD,yes,,HOODIE-GGL-NAVY-S,Google,new,no,Navy,S,unisex,adult
PXLBUDS-A-WHT,"Google Pixel Buds A-Series - True Wireless Earbuds","Great sound, clear calls, and helpful Google Assistant, all at an accessible price.",in_stock,http://www.example.com/pixel_buds_a_white,http://www.example.com/pixel_buds_a_white.jpg,99.00 USD,yes,840244700065,GA02372-US,Google Pixel,new,no,Clearly White,,unisex,adult
NEST-CAM-WIRE,"Google Nest Cam (Wired) - Indoor Security Camera","Monitor your home with the wired Nest Cam, designed for indoor use.",in_stock,http://www.example.com/nest_cam_wired,http://www.example.com/nest_cam_wired.jpg,99.99 USD,yes,193575000326,GA02099-US,Google Nest,new,no,Snow,,unisex,adult
PXLWAT-OBS-L,"Google Pixel Watch - LTE + Bluetooth/Wi-Fi, Large Band","Stay connected even without your phone with the LTE Google Pixel Watch.",in_stock,http://www.example.com/pixel_watch_lte_l,http://www.example.com/pixel_watch_lte_l.jpg,399.99 USD,yes,840244700098,GA03306-US,Google Pixel,new,no,Matte Black,L,unisex,adult
CASE-PXL7-SNW,"Google Pixel 7 Case - Snow","Protect your Pixel 7 with this durable and stylish snow colored case.",in_stock,http://www.example.com/pixel_7_case_snow,http://www.example.com/pixel_7_case_snow.jpg,29.99 USD,yes,,CASE-PXL7-SNW,Google Pixel,new,no,Snow,,unisex,adult
TUMBLER-GGL,"Google Logo Tumbler - 16oz","A double-walled insulated tumbler with the Google logo, perfect for hot or cold drinks.",in_stock,http://www.example.com/google_tumbler,http://www.example.com/google_tumbler.jpg,18.99 USD,yes,,TUMBLER-GGL,Google,new,no,Silver,,unisex,adult
PLNNR-GGL-2024,"Google Branded 2024 Planner","Stay organized with this Google-branded 2024 daily planner.",in_stock,http://www.example.com/google_planner_2024,http://www.example.com/google_planner_2024.jpg,24.99 USD,yes,,PLNNR-GGL-2024,Google,new,no,Navy,,unisex,adult
TEE-GGL-WOM-XL,"Google Logo T-Shirt - Women's X-Large","Comfortable and fashionable Google logo t-shirt, tailored for women, size X-Large.",in_stock,http://www.example.com/google_tee_women_xl,http://www.example.com/google_tee_women_xl.jpg,24.99 USD,yes,,TEE-GGL-WOM-XL,Google,new,no,Navy,XL,female,adult
CAP-GGL-GRY,"Google Logo Baseball Cap - Grey","Sport a classic look with this adjustable grey Google logo baseball cap.",in_stock,http://www.example.com/google_cap_grey,http://www.example.com/google_cap_grey.jpg,19.99 USD,yes,,CAP-GGL-GRY,Google,new,no,Grey,,unisex,adult
NEST-SMOKE-CO,"Google Nest Protect - Smoke and Carbon Monoxide Alarm (Wired)","Know more, worry less. Nest Protect alerts your phone if smoke or CO is detected.",in_stock,http://www.example.com/nest_protect_wired,http://www.example.com/nest_protect_wired.jpg,119.00 USD,yes,193575000333,S3000BW,Google Nest,new,no,White,,unisex,adult
MINI-GGL-HLD,"Google Mini Logo Holder","A small desk accessory to hold pens or cards, with the Google logo.",in_stock,http://www.example.com/google_mini_holder,http://www.example.com/google_mini_holder.jpg,9.99 USD,yes,,MINI-GGL-HLD,Google,new,no,Clear,,unisex,adult
CBL-USB-C-L-ANG,"Google USB-C to USB-C Cable (Right-Angle)","A convenient right-angle USB-C to USB-C cable for tight spaces.",in_stock,http://www.example.com/google_usb_c_l_angle,http://www.example.com/google_usb_c_l_angle.jpg,16.99 USD,yes,840244700042,GA02414-US,Google,new,no,Black,,unisex,adult
UMBRELLA-GGL,"Google Logo Compact Umbrella","Stay dry with this compact umbrella featuring the Google logo.",in_stock,http://www.example.com/google_umbrella,http://www.example.com/google_umbrella.jpg,29.99 USD,yes,,UMBRELLA-GGL,Google,new,no,Black,,unisex,adult
SOCKS-GGL-KID-S,"Google Logo Socks - Kids' Small","Fun and colorful Google logo socks for kids.",in_stock,http://www.example.com/google_socks_kids_s,http://www.example.com/google_socks_kids_s.jpg,9.99 USD,yes,,SOCKS-GGL-KID-S,Google,new,no,Multi-color,S,unisex,kids
PLAY-GC-GENERIC,"Google Play Gift Card - Variable Value","A Google Play gift card, loadable with any amount.",in_stock,http://www.example.com/google_play_gc_variable,http://www.example.com/google_play_gc_variable.jpg,0.00 USD,no,,,Google,new,no,,,unisex,adult
PXL7PRO-BLK-128,"Google Pixel 7 Pro - Unlocked 128GB Smartphone","Google's most powerful phone, with an advanced camera and Tensor G2.",in_stock,http://www.example.com/pixel_7_pro_black,http://www.example.com/pixel_7_pro_black.jpg,899.00 USD,yes,840244700028,GE2AE,Google Pixel,new,no,Obsidian,,unisex,adult
TS-GGL-TEE-BLU-L,"Google Logo T-Shirt - Men's Large, Blue","Classic 100% cotton t-shirt with Google logo, size large, in blue.",in_stock,http://www.example.com/google_tee_men_blue_l,http://www.example.com/google_tee_men_blue_l.jpg,24.99 USD,yes,,TS-GGL-TEE-BLU-L,Google,new,no,Blue,L,male,adult
B0964W6P1P,"Google Nest Hub (2nd Generation) - Smart Display","The Nest Hub (2nd Gen) helps you stay connected and entertained. Available in Charcoal.",in_stock,http://www.example.com/nest_hub_2gen_charcoal,http://www.example.com/nest_hub_2gen_charcoal.jpg,99.99 USD,yes,193575000225,GA01334-US,Google,new,no,Charcoal,,unisex,adult
TS-GGL-KID-L,"Google Logo T-Shirt - Kids' Large","A fun and comfortable Google logo t-shirt for kids, size large.",in_stock,http://www.example.com/google_tee_kids_l,http://www.example.com/google_tee_kids_l.jpg,19.99 USD,yes,,TS-GGL-KID-L,Google,new,no,Blue,L,unisex,kids
HOODIE-GGL-RED-M,"Google Logo Hoodie - Unisex Medium, Red","Comfortable Google logo hoodie, size medium, in vibrant red.",in_stock,http://www.example.com/google_hoodie_red_m,http://www.example.com/google_hoodie_red_m.jpg,59.99 USD,yes,,HOODIE-GGL-RED-M,Google,new,no,Red,M,unisex,adult
PXLBUDS-A-CHRCL,"Google Pixel Buds A-Series - True Wireless Earbuds","Great sound, clear calls, and helpful Google Assistant. In Charcoal.",in_stock,http://www.example.com/pixel_buds_a_charcoal,http://www.example.com/pixel_buds_a_charcoal.jpg,99.00 USD,yes,840244700066,GA02373-US,Google Pixel,new,no,Charcoal,,unisex,adult
NEST-DOOR-BAT,"Google Nest Doorbell (Battery) - Smart Video Doorbell","Wire-free installation, smart alerts, and HD video with the Nest Doorbell.",in_stock,http://www.example.com/nest_doorbell_battery,http://www.example.com/nest_doorbell_battery.jpg,179.99 USD,yes,193575000340,GA02099-US,Google Nest,new,no,Snow,,unisex,adult
PXLWAT-OBS-S,"Google Pixel Watch - LTE + Bluetooth/Wi-Fi, Small Band","Stay connected even without your phone with the LTE Google Pixel Watch.",in_stock,http://www.example.com/pixel_watch_lte_s,http://www.example.com/pixel_watch_lte_s.jpg,399.99 USD,yes,840244700099,GA03307-US,Google Pixel,new,no,Matte Black,S,unisex,adult
CASE-PXL7PRO-OBS,"Google Pixel 7 Pro Case - Obsidian","Protect your Pixel 7 Pro with this durable and stylish obsidian case.",in_stock,http://www.example.com/pixel_7_pro_case_obsidian,http://www.example.com/pixel_7_pro_case_obsidian.jpg,29.99 USD,yes,,CASE-PXL7PRO-OBS,Google Pixel,new,no,Obsidian,,unisex,adult
MOUSEPAD-GGL,"Google Logo Mousepad","A comfortable and durable mousepad featuring the Google logo.",in_stock,http://www.example.com/google_mousepad,http://www.example.com/google_mousepad.jpg,9.99 USD,yes,,MOUSEPAD-GGL,Google,new,no,Black,,unisex,adult
FOLDER-GGL-3PK,"Google Logo Folder Set - 3 Pack","Keep your documents organized with this set of three Google logo folders.",in_stock,http://www.example.com/google_folder_set,http://www.example.com/google_folder_set.jpg,10.99 USD,yes,,FOLDER-GGL-3PK,Google,new,no,Multi-color,,unisex,adult
VEST-GGL-UNI-L,"Google Logo Vest - Unisex Large","A lightweight Google logo vest, perfect for layering.",in_stock,http://www.example.com/google_vest_l,http://www.example.com/google_vest_l.jpg,49.99 USD,yes,,VEST-GGL-UNI-L,Google,new,no,Black,L,unisex,adult
